id,ticker,structure,expiry,long_strike,short_strike,opened,closed,imported_pnl,rh_net_cash,discrepancy,n_fills,verdict
159,ELV,put_spread,2026-03-20,310.0,290.0,2026-02-20,2026-02-26,233.65,233.65,-0.0,6,MATCH
160,EOG,call_spread,2026-03-20,120.0,130.0,2026-02-09,2026-02-12,82.82,82.82,-0.0,4,MATCH
161,EXC,call,2026-02-20,47.0,,2026-02-12,2026-02-13,841.16,841.16,0.0,5,MATCH
163,FCX,put,2026-04-17,50.0,,2026-01-29,2026-01-30,64.82,64.82,0.0,3,MATCH
162,FCX,put_spread,2026-03-06,67.0,63.0,2026-02-25,2026-02-27,-6.34,-6.34,0.0,4,MATCH
164,FXI,put_spread,2026-05-15,37.0,35.0,2026-02-23,2026-02-26,102.16,102.16,0.0,8,MATCH
166,GDX,put_spread,2026-04-17,100.0,80.0,2026-01-27,2026-01-30,214.82,214.82,0.0,4,MATCH
167,GME,call,2026-01-30,30.0,,2026-01-26,2026-01-27,-22.09,-22.09,0.0,2,MATCH
168,GME,call,2026-02-13,26.0,,2026-01-26,2026-01-27,-52.09,-52.09,0.0,2,MATCH
177,IBIT,put_spread,2026-06-18,50.0,44.0,2026-01-08,2026-01-21,-4.18,-4.18,-0.0,4,MATCH
170,IBIT,call,2026-02-04,50.0,,2026-01-30,2026-02-04,-48.08,-48.08,0.0,2,MATCH
171,IBIT,put,2026-02-20,35.5,,2026-02-06,2026-02-11,-21.17,-21.17,-0.0,3,MATCH
176,IBIT,put_spread,2026-03-20,35.0,30.0,2026-02-09,2026-02-17,33.65,33.65,-0.0,6,MATCH
172,IBIT,put_spread,2026-02-25,36.5,33.5,2026-02-17,2026-02-19,9.66,9.66,0.0,4,MATCH
173,IBIT,call_spread,2026-02-27,39.0,42.0,2026-02-13,2026-02-24,-168.02,-168.02,0.0,12,MATCH
175,IBIT,call_spread,2026-03-06,40.5,45.0,2026-02-25,2026-02-26,-28.18,-28.18,-0.0,4,MATCH
180,KO,put,2026-02-13,69.0,,2026-01-22,2026-01-23,-10.09,-10.09,0.0,2,MATCH
182,MO,call,2026-03-06,68.0,,2026-02-04,2026-02-06,-9.17,-9.17,-0.0,3,MATCH
183,NFLX,call_spread,2026-05-15,82.0,94.0,2026-02-13,2026-02-18,34.82,34.82,-0.0,4,MATCH
184,NVDA,put_spread,2026-02-27,180.0,170.0,2026-02-11,2026-02-13,160.65,160.65,0.0,6,MATCH
185,PANW,call_spread,2026-02-20,185.0,195.0,2026-02-17,2026-02-20,-75.09,-75.09,0.0,4,MATCH
187,PFE,call_spread,2026-03-20,29.0,31.0,2026-02-17,2026-02-24,-25.03,-25.03,0.0,14,MATCH
191,QQQ,put_spread,2026-02-25,590.0,581.0,2026-02-23,2026-02-25,-210.17,-210.17,0.0,4,MATCH
192,QQQ,put_spread,2026-03-20,584.0,570.0,2026-02-26,2026-02-27,38.64,38.64,0.0,8,MATCH
193,RXT,call_spread,2026-03-20,1.5,3.0,2026-02-18,2026-02-20,29.48,29.48,0.0,8,MATCH
197,SLV,put,2026-03-31,50.0,,2026-02-03,2026-02-06,239.74,239.74,0.0,4,MATCH
195,SLV,put_spread,2026-03-06,67.0,61.0,2026-02-18,2026-02-19,-40.34,-40.34,-0.0,4,MATCH
198,SMH,call_spread,2026-02-27,450.0,457.5,2026-02-25,2026-02-27,-37.09,-37.09,0.0,4,MATCH
199,SMH,put_spread,2026-03-20,380.0,370.0,2026-02-23,2026-02-27,69.66,69.66,0.0,4,MATCH
201,SOUN,put_spread,2027-01-15,5.0,2.5,2026-01-29,2026-01-30,-33.36,-33.36,-0.0,8,MATCH
200,SOUN,put,2026-03-20,9.0,,2026-01-29,2026-01-30,83.82,83.82,-0.0,4,MATCH
202,SPB,call_spread,2026-07-17,95.0,105.0,2026-02-20,2026-02-23,-95.18,-95.18,-0.0,4,MATCH
203,TFC,call_spread,2026-03-20,55.0,57.5,2026-02-20,2026-02-23,-8.34,-8.34,0.0,4,MATCH
204,TFC,put_spread,2026-03-20,47.5,42.5,2026-02-23,2026-02-25,-24.34,-24.34,-0.0,4,MATCH
205,TOST,call_spread,2026-06-18,32.0,37.0,2026-02-13,2026-02-19,-57.51,-57.51,0.0,6,MATCH
206,TQQQ,put,2026-01-30,50.0,,2026-01-08,2026-01-20,26.91,26.91,-0.0,2,MATCH
210,TSLA,put_spread,2026-03-04,395.0,385.0,2026-02-18,2026-02-19,49.82,49.82,0.0,4,MATCH
211,TSLA,put_spread,2026-03-13,385.0,370.0,2026-02-19,2026-02-20,-0.18,-0.18,0.0,4,MATCH
213,TWLO,put_spread,2026-03-20,100.0,90.0,2026-02-13,2026-02-17,84.82,84.82,-0.0,4,MATCH
214,UBER,call_spread,2026-03-20,80.0,90.0,2026-02-18,2026-02-19,19.66,19.66,-0.0,4,MATCH
215,WM,call_spread,2026-03-20,240.0,250.0,2026-02-19,2026-02-23,-150.35,-150.35,0.0,6,MATCH
217,WMT,put_spread,2026-05-15,120.0,105.0,2026-02-12,2026-02-18,79.82,79.82,-0.0,4,MATCH
218,XLE,call,2026-02-20,50.0,,2026-01-05,2026-01-05,269.57,269.57,0.0,1,MATCH
219,XLE,call_spread,2026-03-06,57.0,60.0,2026-02-18,2026-02-19,59.5,59.5,-0.0,4,MATCH
